ID,ACTION,IS_DELETED
2613772,Client Visit,FALSE
2616579,Client Visit,FALSE
2616583,Client Visit,FALSE
2616679,Client Visit,FALSE
2616806,Client Visit,FALSE
2617260,Client Visit,FALSE
2617468,Client Visit,FALSE
2620952,Client Visit,FALSE
2621376,Client Visit,FALSE
2621603,Client Visit,FALSE
2622149,Client Visit,FALSE
2622303,Client Visit,FALSE
2622333,Client Visit,FALSE
2624808,Client Visit,FALSE
2624832,Client Visit,FALSE
2624838,Client Visit,FALSE
2626326,Client Visit,FALSE
2626332,Client Visit,FALSE
2626448,Client Visit,FALSE
2626449,Client Visit,FALSE
2626450,Client Visit,FALSE
2626451,Client Visit,FALSE
2626624,Client Visit,FALSE
2627267,Client Visit,FALSE
2628284,Client Visit,FALSE
2628873,Client Visit,FALSE
2628951,Client Visit,FALSE
2628952,Client Visit,FALSE
2629325,Client Visit,FALSE
2629859,Client Visit,FALSE
2630272,Client Visit,FALSE
2630273,Client Visit,FALSE
2630274,Client Visit,FALSE
2630275,Client Visit,FALSE
2631457,Client Visit,FALSE
2631625,Client Visit,FALSE
2631626,Client Visit,FALSE
2632267,Client Visit,FALSE
2632700,Client Visit,FALSE
2633704,Client Visit,FALSE
2634927,Client Visit,FALSE
2635504,Client Visit,FALSE
2635549,Client Visit,FALSE
2635757,Client Visit,FALSE
2635993,Client Visit,FALSE
2636742,Client Visit,FALSE
2636748,Client Visit,FALSE
2636749,Client Visit,FALSE
2636792,Client Visit,FALSE
2638084,Client Visit,FALSE
2638514,Client Visit,FALSE
2639450,Client Visit,FALSE
2641291,Client Visit,FALSE
2641503,Client Visit,FALSE
2641744,Client Visit,FALSE
2642563,Client Visit,FALSE
2642567,Client Visit,FALSE
2642570,Client Visit,FALSE
2642574,Client Visit,FALSE
2642576,Client Visit,FALSE
2642578,Client Visit,FALSE
2642583,Client Visit,FALSE
2642585,Client Visit,FALSE
2642588,Client Visit,FALSE
2642589,Client Visit,FALSE
2642599,Client Visit,FALSE
2642602,Client Visit,FALSE
2642606,Client Visit,FALSE
2642607,Client Visit,FALSE
2642613,Client Visit,FALSE
2644228,Client Visit,FALSE
2644302,Client Visit,FALSE
2644312,Client Visit,FALSE
2644316,Client Visit,FALSE
2644320,Client Visit,FALSE
2644323,Client Visit,FALSE
2644555,Client Visit,FALSE
2644664,Client Visit,FALSE
