ID,OWNER
112539,5080566
112540,5080566
112541,5080566
112542,5080013
112543,5080013
112544,5095928
112545,5080013
112546,5091663
112547,5080566
112548,5091663
112549,5085661
112550,5095928
112551,5095928
112552,5091663
112553,5091663
112554,5080013
112555,5080566
112556,5080013
112557,5095928
112558,5080013
112559,5080013
112560,5080566
112561,5080566
112562,5091663
112563,5080013
112564,5080013
112565,5080013
112566,5095928
112567,5085661
112568,5080013
112569,5091663
112570,5091663
112571,5080566
112572,5080566
112573,5080566
112574,5080566
112575,5080013
112576,5085661
112577,5080566
112578,5080013
112579,5080013
112580,5080013
112581,5080013
112582,5080013
112583,5095928
112584,5080013
112585,5080013
112586,5085661
112587,5085661
112588,5095928
112589,5080566
112590,5080013
112591,5091663
112592,5091663
112593,5091663
112594,5080566
112595,5080566
112596,5080013
112597,5080013
112598,5080013
112599,5080566
112600,5080013
112601,5080013
112602,5091663
112603,5091663
112604,5080013
112605,5095928
112606,5080566
112607,5091663
112608,5080566
112609,5080566
112610,5080013
112611,5080566
112612,5080566
112613,5091663
112614,5080566
112615,5080566
112616,5085661
112617,5085661
112618,5080566
112619,5080566
112620,5091663
112621,5091663
112622,5085661
112623,5080013
112624,5080013
112625,5091663
112626,5080013
112627,5080013
112628,5080566
112629,5080566
112630,5080566
112631,5080013
112632,5080013
112633,5080013
112634,5085661
112635,5095928
112636,5095928
112637,5095928
112638,5095928
112639,5080013
112640,5080013
112641,5080013
112642,5080013
112643,5080566
112644,5080013
112645,5080566
112646,5085661
112647,5095928
112648,5080566
112649,5080566
112650,5080566
112651,5080013
112652,5080013
112653,5080013
112654,5080013
112655,5080013
112656,5080566
112657,5080013
112658,5077656
112661,5095928
112662,5080013
112663,5080566
112664,5080013
112665,5095928
112666,5080013
112667,5080013
112668,5080566
112669,5095928
112670,5080013
112671,5085661
112672,5085238
112673,5085238
112674,5080013
112675,5080013
112676,5085661
112677,5080013
112678,5091663
112679,5080566
112680,5080566
112681,5080013
112682,5095928
112683,5080013
112684,5080013
112685,5095928
112686,5080566
112687,5085661
112688,5080013
112689,5080013
112690,5080566
112691,5080013
112692,5077656
112693,5080013
112694,5085661
112695,5095928
112696,5091663
112697,5091663
112698,5091663
112699,5080566
112700,5091663
112701,5091663
112702,5080013
112703,5080013
112704,5080566
112705,5091817
112706,5091817
112707,5091817
112708,5091817
112709,5091817
112710,5091817
112711,5091817
112712,5091817
112713,5091817
112714,5091817
112715,5091817
112716,5091817
112717,5091817
112718,5080566
112719,5095928
112720,5080013
112721,5080013
112722,5085661
112723,5091251
112724,5080566
112725,5085661
112726,5080013
112727,5077656
112728,5080013
112729,5080013
112730,5085661
112731,5085661
112732,5080566
112733,5091663
112734,5095928
112735,5080013
112736,5080566
112737,5080013
112738,5080566
112739,5085661
112740,5091663
112741,5077656
112742,5080013
112743,5080566
112744,5085661
112745,5080566
112746,5080566
112747,5077656
112748,5080013
112749,5080013
112750,5080013
112751,5085661
112753,5085661
112754,5080566
112755,5080013
112756,5095928
112757,5080013
112758,5077656
112759,5077656
112760,5077656
112761,5080013
112762,5077656
112763,5085661
112764,5080013
112765,5080013
112766,5080013
112767,5080013
112768,5095928
112769,5091817
112770,5077656
112771,5085661
112772,5085661
112773,5080013
112774,5085661
112775,5077656
112776,5088943
112777,5085238
112778,5091663
112779,5080013
112780,5080013
112781,5080013
112782,5080013
112783,5085661
112784,5077656
112785,5077656
112786,5077656
112787,5102785
112788,5080013
112789,5080013
112790,5080013
112791,5080013
112792,5080013
112793,5077656
112794,5077656
112795,5080013
112796,5080013
112797,5080013
112798,5085661
112799,5085661
112800,5080013
112801,5080013
112802,5091663
112803,5080013
112804,5080566
112806,5080013
112807,5080013
112808,5080013
112809,5080013
112810,5080013
112811,5080566
112812,5080013
112813,5095928
112814,5095928
112815,5080566
112816,5080566
112817,5080013
112818,5085661
112819,5080013
112820,5080013
112821,5080013
112822,5085661
112823,5085661
112824,5080013
112825,5085238
112826,5080013
112827,5085661
112828,5085661
112829,5077656
112830,5088943
112831,5088943
112832,5080013
112833,5080013
112834,5080013
112835,5080566
112836,5080013
112837,5080566
112838,5080013
112839,5085661
112840,5080566
112841,5080013
112842,5085661
112843,5080566
112844,5088943
112845,5080013
112846,5095928
112847,5080566
112848,5077656
112849,5077656
112850,5080013
112851,5080013
112852,5080566
112853,5080013
112854,5080013
112855,5080566
112856,5077656
112857,5085661
112858,5085661
112860,5080013
112861,5077656
112862,5080013
112863,5085661
112864,5077656
112865,5088943
112866,5080013
112867,5080566
112868,5080566
112869,5080013
112870,5080013
112871,5080013
112872,5077656
112873,5091817
112874,5089794
112875,5089794
112876,5080013
112877,5080013
112878,5080013
112879,5095928
112880,5088943
112881,5088943
112882,5088943
112883,5080566
112884,5088943
112885,5095928
112886,5080566
112887,5080566
112888,5080013
112889,5085661
112890,5085661
112891,5080013
112892,5095928
112893,5080566
112894,5080013
112895,5077656
112896,5080013
112897,5088943
112898,5088943
112899,5088943
112900,5080566
112901,5085661
112902,5077656
112903,5080013
112904,5080013
112905,5080013
112906,5080013
112907,5077656
112908,5080013
112909,5080013
112910,5077656
112911,5080566
112912,5080566
112913,5091687
112914,5080013
112915,5077656
112916,5080013
112917,5085661
112918,5080013
112919,5080013
112920,5080013
112921,5095928
112922,5077656
112923,5077656
112924,5091687
112925,5085661
112926,5080566
112927,5090073
112928,5095928
112929,5088943
112930,5089794
112931,5085661
112932,5085661
112933,5085661
112934,5095928
112935,5089794
112936,5080013
112937,5080566
112938,5090073
112939,5080566
112940,5080566
112941,5080566
112942,5085661
112943,5085661
112944,5085661
112945,5080013
112946,5080013
112947,5080013
112948,5080013
112949,5080013
112950,5080013
112951,5077656
112952,5080013
112953,5085661
112954,5080013
112955,5080013
112956,5095928
112957,5080013
112958,5080013
112959,5090073
112960,5077656
112961,5080013
112962,5080566
112963,5080013
112964,5080013
112965,5080566
112966,5085661
112967,5090073
112968,5077656
112969,5085238
112970,5080013
112971,5080013
112972,5088943
112973,5088943
112974,5095928
112975,5077656
112976,5080013
112977,5080013
112978,5080013
112979,5080566
112980,5085661
112981,5085661
112982,5077656
112983,5080566
112984,5080013
112985,5077656
112986,5080013
112987,5080013
112988,5080013
112989,5080566
112990,5095928
112991,5095928
112992,5095928
112993,5095928
112994,5077656
112995,5095928
112996,5080013
112997,5085661
112998,5080013
112999,5090073
113000,5090492
113001,5091251
113002,5088943
113003,5080566
113004,5080566
113005,5080013
113006,5080566
113007,5080566
113008,5090073
113009,5080013
113010,5090492
113011,5090492
113012,5080566
113013,5090073
113014,5090073
113015,5090073
113016,5080013
113017,5080013
113018,5088943
113019,5088943
113020,5080013
113021,5080566
113022,5080013
113023,5089794
113024,5077656
113025,5077656
113026,5077656
113027,5077656
113028,5080566
113029,5080566
113030,5080013
113031,5077656
113032,5090492
113033,5090492
113034,5077656
113035,5080013
113036,5080013
113037,5088943
113038,5088943
113039,5091687
113040,5080013
113041,5080013
113042,5090073
113043,5080013
113044,5080013
113045,5077656
113046,5077656
113047,5088943
113048,5080013
113049,5080566
113050,5090492
113051,5077656
113052,5088943
113053,5090073
113054,5088943
113055,5080566
113056,5080566
113057,5080013
113058,5077656
113059,5080013
113060,5080013
113061,5080013
113062,5090492
113063,5080566
113064,5080013
113065,5080566
113066,5080566
113067,5080013
113068,5088943
113069,5090073
113070,5080566
113071,5090073
113072,5090073
113073,5091476
113074,5077656
113075,5077656
113076,5091476
113077,5091476
113078,5091476
113079,5091476
113080,5091476
113081,5091476
113082,5091476
113083,5091476
113084,5088943
113085,5091476
113086,5091476
113087,5091476
113088,5088943
113089,5088943
113090,5088943
113091,5090492
113092,5090492
113093,5090073
113094,5091476
113095,5091476
113096,5091476
113097,5091476
113098,5090073
113099,5095928
113100,5091476
113101,5080013
113102,5077656
113103,5080566
113104,5090073
113105,5080013
113106,5077656
113107,5080566
113108,5090492
113109,5091476
113110,5077656
113111,5080566
113112,5091476
113113,5091476
113114,5095928
113115,5080013
113116,5088943
113117,5080566
113118,5091476
113119,5091476
113120,5080013
113121,5080013
113122,5080013
113123,5080013
113124,5090073
113125,5090073
113126,5080566
113127,5090073
113128,5088943
113129,5088943
113130,5077656
113131,5088943
113132,5080566
113133,5077656
113134,5080013
113135,5091687
113136,5080013
113137,5091476
113138,5091476
113139,5080013
113140,5080013
113141,5091476
113142,5080013
113143,5080566
113144,5091476
113145,5090073
113146,5091476
113147,5080013
113148,5077656
113149,5099217
113150,5077656
113151,5077656
113152,5080013
113153,5091476
113154,5080013
113155,5080566
113156,5091687
113157,5090492
113158,5080013
113159,5080013
113160,5080013
113161,5080566
113162,5091817
113163,5077656
113164,5080013
113165,5088943
113166,5090073
113167,5091476
113168,5091476
113169,5091476
113170,5080566
113171,5091476
113172,5091476
113173,5080013
113174,5091476
113175,5091476
113176,5080013
113177,5077656
113178,5080013
113179,5091476
113180,5091476
113181,5091476
113182,5095928
113183,5091476
113184,5080013
113185,5090073
113186,5080566
113187,5091476
113188,5091476
113189,5091476
113190,5091476
113191,5080013
113192,5091687
113193,5080566
113194,5080566
113195,5077656
113196,5077656
113197,5095928
113198,5080013
113199,5095928
113200,5088943
113201,5088943
113202,5077656
113203,5090492
113204,5091251
113205,5088943
113206,5095928
113207,5088943
113208,5080013
113209,5077656
113210,5090073
113211,5090492
113212,5090073
113213,5095928
113214,5095928
113215,5092025
113216,5092025
113217,5092025
113218,5092025
113219,5092025
113220,5092025
113221,5090492
113222,5092025
113223,5092025
113224,5095928
113225,5080013
113226,5080013
113227,5088943
113228,5088943
113229,5088943
113230,5090492
113231,5090492
113232,5080013
113233,5080013
113234,5077656
113235,5080566
113236,5091251
113237,5095928
113238,5077656
113239,5080013
113240,5080013
113241,5080566
113242,5080013
113243,5077656
113244,5080566
113245,5080013
113246,5080013
113247,5080013
113248,5080013
113249,5080013
113250,5077656
113251,5077656
113252,5080566
113253,5090073
113254,5080013
113255,5090492
113256,5080013
113257,5080013
113258,5077656
113259,5080013
113260,5080013
113261,5080013
113262,5080013
113263,5080566
113264,5080566
113265,5077656
113266,5080013
113267,5080013
113268,5077656
113269,5080013
113270,5080013
113271,5080566
113272,5080013
113273,5080013
113274,5080013
113275,5080013
113276,5080013
113277,5080013
113278,5077656
113279,5080013
113280,5080013
113281,5090073
113282,5080013
113283,5090492
113284,5080013
113285,5080013
113286,5090073
113287,5090073
113288,5090073
113289,5090073
113290,5080013
113291,5077656
113292,5090492
113293,5091687
113294,5091687
113295,5080566
113296,5080566
113297,5091251
113298,5080013
113299,5080013
113300,5095928
113301,5090073
113302,5077656
113303,5077656
113304,5077656
113305,5080013
113306,5090287
113307,5077656
